topic_id,topic_title,seq_topic_id
25,Trackers,0
26,Anonymity,1
27,Ownership,2
28,Law and Government Requests,3
30,Copyright License,4
31,Governance,5
32,Guarantee,6
34,User Choice,7
35,User Involvement in Changing Terms,8
36,Transparency,9
38,Changes,10
39,Business Transfers,11
40,Logs,12
41,Personal Data,13
42,Dispute Resolution,14
44,Jurisdiction and governing laws,15
45,Right to Leave The Service,16
46,Notice of Changing Terms,17
47,Suspension and Censorship,18
48,Third Parties,19
50,Security,20
52,Content,21
54,Payments,22
56,Types of Information Collected,23
57,Advertising,24
