case_id,case_title,seq_case_id
128,Third-party cookies are used for advertising,0
129,This service tracks you on other websites,1
130,A license is kept on user-generated content even after you close your account,2
134,Your content can be licensed to third parties,3
164,Your personal data may be disclosed to comply with government requests without notice to you,4
166,This service shares your personal data with third parties that are not essential to its operation,5
176,Only necessary logs are kept by the service to ensure quality,6
188,This service gives your personal data to third parties involved in its operation,7
190,Your personal data is aggregated into statistics,8
192,IP addresses of website visitors are not tracked,9
193,Your personal data is not sold,10
195,"You can request access, correction and/or deletion of your data",11
211,Extra data may be collected about you through promotions,12
216,Your personal data is used for advertising,13
217,Tracking pixels are used in service-to-user communication,14
219,You can opt out of targeted advertising,15
220,Your personal data is used to employ targeted third-party advertising,16
230,You must create an account to use this service,17
233,Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,18
234,They store data on you even if you did not interact with the service,19
239,Private messages can be read,20
296,Your information is only shared with third parties when given specific consent,21
297,Information is provided about how they collect personal data,22
298,You can access most of the pages on the service's website without revealing any personal information,23
300,A complaint mechanism is provided for the handling of personal data,24
301,The service reviews its privacy policy on a regular basis,25
302,Personal information that is shared outside its jurisdiction is processed according to the original jurisdiction’s data protection standards,26
303,The data retention period is kept to the minimum necessary for fulfilling its purposes,27
304,"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",28
305,The service will resist legal requests for your information where reasonably possible,29
306, A list of all cookies set by the website is provided,30
307, You are being tracked via social media cookies/pixels,31
311,Your personal data is not shared with third parties,32
320,No need to register,33
322,App required for this service requires broad device permissions,34
323,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",35
324,Alternative accounts are not allowed,36
325,Third-party cookies are used for statistics,37
326,Your profile is combined across various products,38
327,Your identity is used in ads that are shown to other users,39
333,Some personal data may be kept for business interests or legal obligations,40
334,The service explains how to prevent disclosure of personal information to third parties,41
336,Your personal data may be used for marketing purposes,42
337,You can opt out of providing personal information to third parties,43
338,You can limit how your information is used by third-parties and the service,44
372,"User-generated content is encrypted, and this service cannot decrypt it",45
373,"This service may collect, use, and share location data",46
374,The cookies used by this service do not contain information that would personally identify you,47
376,Many different types of personal data are collected,48
381,No third-party analytics or tracking platforms are used,49
382,Information is gathered about you through third parties,50
383,Your browser's Do Not Track (DNT) headers are respected,51
384,You authorise the service to charge a credit card supplied on re-occurring basis,52
385,Tracking cookies refused will not limit your ability to use the service,53
387,This service tracks which web page referred you to it,54
391,You will be notified if personal data has been affected by data breaches,55
392,"This service does not collect, use, or share location data",56
393,The service will only respond to government requests that are reasonable,57
394,"You cannot delete your contributions, but it makes sense for this service",58
395,Your browsing history can be viewed by the service,59
396,Your Personal data may be sold unless you opt out,60
397,Your biometric data is collected,61
399,"Your IP address is collected, which can be used to view your approximate location",62
400,This service receives your precise location through GPS coordinates,63
403,"Instead of asking directly, this Service will assume your consent merely from your usage.",64
404,This Service provides a list of Third Parties involved in its operation.,65
406,An onion site accessible over Tor is provided,66
409,You must provide your identifiable information,67
411,Your data is processed and stored in a country that is less friendly to user privacy protection,68
478,This service still tracks you even if you opted out from tracking,69
488,Your data is processed and stored in a country that is friendlier to user privacy protection,70
489,Voice data is collected and shared with third-parties,71
490, The service is only available in some countries approved by its government,72
492,Your provided identifiable information is actively checked by the service,73
